number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
14669,[Bug]:  non-enumerable symbols are not excluded when calling toMatchObject ,1698885329,1701562132,1698929219.0,fa93hws,0,2,closed,1,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,1156217.0,@Canva,75,18,73,15,1421821489,1728948858
14695,"[Bug]: thrown: ""Exceeded timeout of 15000 ms for a test.",1700041546,1712880497,1710227049.0,kk2491,0,3,closed,1,NONE,7,2,0,0,0,0,0,0,0,2,186145.0,Interplai,70,207,81,0,1524015204,1700454816
14701,"[Bug]: Unknown option ""coverageReporters"" validation warning when used for projects",1700227691,1708429429,1704382584.0,Kirdock,0,2,closed,1,NONE,5,2,0,0,0,0,0,0,0,2,239079.0,Dynatrace,7,0,16,0,1427039642,1728304611
14706,"[Bug]: ""expect"" strips out object properties with the name 'stack'",1700466770,1703117295,1700470306.0,rickgm,0,2,closed,1,NONE,1,0,0,0,0,0,0,0,0,0,3929.0,,0,0,1,0,1684766417,1726875246
14707,[Bug]: Not able to import momentjs lang packages on vite based env,1700470699,1708301316,1705658669.0,hadson172,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,2040.0,,3,4,15,4,1411491260,1729205977
14708,[Bug]: Node 20 `--detect-leaks` always triggers (transpiled import syntax),1700472739,1703117289,1700478520.0,GabeAtWork,0,2,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,380296.0,@Spendesk,15,34,29,2,1496763676,1718696925
14713,[Bug]: Typing error only when cache is empty,1700853035,1706054924,1703455382.0,adpeyre,0,3,closed,1,NONE,2,0,0,0,0,0,0,0,0,0,169360.0,,4,7,24,0,1431422015,1721738796
14719,"[Bug]: jest 30 with --experimental-vm-modules (node 20 LTS) hangs forever with ""module"": ""Node16"" and ""moduleResolution"": ""Node16""",1701022395,1703635689,1701029221.0,darkbasic,0,2,closed,1,NONE,2,0,0,0,0,0,0,0,0,0,58570.0,,76,63,126,1,1315919976,1726412573
14721,"[Bug]: Tests passes in CI/docker, but fails locally, unless `console.log` is used",1701080965,1708906097,1706270812.0,chrisvltn,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,4793.0,Westwing Home & Living,7,22,15,14,1471367158,1728157491
14723,"[Bug]: snapshots don't work in dual package esm+cjs Typescript repo (ts-jest), even with ""module"": ""CommonJS""",1701085758,1711584513,1708949218.0,darkbasic,0,3,closed,1,NONE,7,0,0,0,0,0,0,0,0,0,5035.0,,76,63,126,1,1315919976,1726412573
14724,[Bug]: --onlyChanged flag is not working if I do some change in .html file in Angular,1701090793,1703722102,1701091098.0,Ashokkumar1995,0,3,closed,1,NONE,3,0,0,0,0,0,0,0,0,0,84570.0,,0,1,16,0,1482390007,1684272740
14727,"[Bug]: Incorrect ""global"" coverageThreshold handle, while nested directories thresholds are defined",1701175363,1718496592,1715835872.0,vvscode,0,3,closed,1,NONE,10,1,0,0,0,0,0,0,0,1,35984.0,Bolt,476,3,304,44,1394435807,1725559035
14728,[Bug]: Upgrading to Jest 0.29.x fails with error in @react-native/polyfills/error-guard.js,1701211347,1703981354,1701249976.0,parveen-bhatia,0,2,closed,1,NONE,8,0,0,0,0,0,0,0,0,0,103859.0,,0,0,1,0,1515694236,1714583182
14729,[Bug]: Inconsistent Behavior with Jest's test.each Method,1701315206,1709165266,1706501074.0,JIAQIA,0,3,closed,1,NONE,4,0,0,0,0,0,0,0,0,0,153100.0,,1,9,15,0,1353595633,1726733557
14733,[Bug]: `expect.toHaveBeenCalledWith` does not match when optional arguments are omitted,1701468306,1722557368,1719687833.0,Lordfirespeed,0,3,closed,1,NONE,16,0,0,0,0,0,0,0,0,0,265523.0,,4,2,93,2,1494341336,1729265094
