number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
2135,"IE8 does not have a setter for property ""enctype""",1409751253,1423054075,1423054074.0,syranide,0,1,closed,0,CONTRIBUTOR,9,0,0,0,0,0,0,0,0,0,3962.0,Cetrez,198,3,4,0,1336414389,1728197811
2136,"Whitespace in option element before property variable triggers ""Invariant Violation""",1409755215,1444855880,1444855880.0,isaacbernat,0,1,closed,0,NONE,5,0,0,0,0,0,0,0,0,0,383923.0,@preply,22,11,29,0,1349681744,1722598843
2160,"JSXTransformer doesn't handle element with ""="" as content",1410139138,1410140953,1410140953.0,Daniel15,0,1,closed,0,MEMBER,1,0,0,0,0,0,0,0,0,0,91207.0,@Facebook,1394,98,326,68,1244138327,1729297693
2164,setState callback in componentWillMount should get called,1410230345,1419953684,1419953684.0,zpao,0,1,closed,0,MEMBER,2,0,0,0,0,0,0,0,0,0,243435.0,@facebook ,4877,24,160,94,1209098302,1728240492
2182,video component doesnt support media events,1410473780,1445617594,1445617594.0,daniellewissc,0,1,closed,0,NONE,7,0,0,0,0,0,0,0,0,0,64745.0,,2,2,1,0,1406556374,1561006410
2185,EN-Dash Causes onChange to fire in IE11 on Render,1410538525,1460756246,1460756246.0,browniefed,0,1,closed,0,NONE,6,0,0,0,0,0,0,0,0,0,217556.0,Code Daily,697,56,367,28,1336422821,1725643518
2193,getEventKey implementation inconsistent with DOM3 spec / Firefox implementation,1410756081,1529950285,,Daniel15,0,2,open,0,MEMBER,6,0,0,0,0,0,0,0,0,0,210490.0,@Facebook,1394,98,326,68,1244138327,1729297693
2203,html5 input type=number doesn't work with empty value,1410966571,1412031067,1412031067.0,wheercool,0,2,closed,0,NONE,8,0,0,0,0,0,0,0,0,0,681378.0,,0,0,113,2,1363355641,1726178114
2242,Remount ReactDOMInput when changing type,1411647949,1459018581,1459018580.0,syranide,0,2,closed,0,CONTRIBUTOR,6,0,0,0,0,0,0,0,0,0,61557.0,Cetrez,198,3,4,0,1336414389,1728197811
2247,Minified version broken in IE8,1411709506,1429043708,1428965113.0,cascadian,0,1,closed,0,NONE,21,0,0,0,0,0,0,0,0,0,16028.0,,5,3,61,3,1339623293,1711155197
